--- PSX Execution Trace ---
[09980] PC: 0x80001008  Inst: 0x3C090000
[09981] PC: 0x8000100C  Inst: 0x35290501
[09982] PC: 0x80001010  Inst: 0xAD090000
[09983] PC: 0x80001014  Inst: 0x8D0A0000
[09984] PC: 0x80001018  Inst: 0x00000000
[09985] PC: 0x8000101C  Inst: 0x00000000
[09986] PC: 0x80001000  Inst: 0x3C08BFC0
[09987] PC: 0x80001004  Inst: 0x35080000
[09988] PC: 0x80001008  Inst: 0x8D0B0000
[09989] PC: 0x8000100C  Inst: 0x24090055
[09990] PC: 0x80001010  Inst: 0xAD090000
[09991] PC: 0x80001014  Inst: 0x8D0A0000
[09992] PC: 0x80001018  Inst: 0x00000000
[09993] PC: 0x8000101C  Inst: 0x00000000
[09994] PC: 0x80001000  Inst: 0x24000005
[09995] PC: 0x80001004  Inst: 0x3C00FFFF
[09996] PC: 0x80001008  Inst: 0x00004021
[09997] PC: 0x80001000  Inst: 0x00000000
[09998] PC: 0x80001004  Inst: 0x0000000C
[09999] PC: 0x80001000  Inst: 0x0000000D
--- Exception State ---
Caught Code: 0x09
EPC: 0x80001000
Cause: 0x00000000
BadVaddr: 0x00000000
a0: 0x00000000
a1: 0x00000000
a2: 0x00000000
a3: 0x00000000
v0: 0x00000000
v1: 0x00000000
ra: 0x00000000
--- End of Trace ---
